,pv
1311,162633760.28253007
1312,179209350.8691484
1313,105676494.48693244
1314,231676162.9936357
1315,156130648.90529275
1316,193844174.68389013
1317,158510711.31834933
1318,406075074.4235033
1319,211980315.19856563
1320,137413818.91541767
1321,209835409.4623263
1322,154428748.63213876
1323,151234277.00070956
1324,170649547.4664402
1325,116016345.99227375
1326,174471051.55010298
1327,384677864.79155934
1328,135893069.20526975
1329,233267415.4710554
1330,233778717.19781315
1331,140504953.143529
1332,137125924.52739555
1333,293122574.0887482
1334,206633581.5286554
1335,216470287.89229038
1336,246411211.1757119
1337,160395367.43426
1338,355458297.57255304
1339,144166038.62532416
1340,132022679.12859488
1341,277140352.40110856
1342,196602470.7643978
1343,138083130.9205053
1344,190356693.18849814
1345,138070207.7842517
1346,202973607.88772553
1347,181369136.19971186
1348,156619575.36942953
1349,203913981.73699972
1350,158719327.76176664
1351,271447839.97164464
1352,285255577.10036606
1353,295564877.57516867
1354,306663541.81306475
1355,288142264.6721436
1356,187425890.74954882
1357,302693856.76391864
1358,169931249.0979205
1359,441061390.9316951
1360,191494534.79826006
1361,429891128.19705325
1362,210892807.5093044
1363,731663704.8887136
1364,186212285.79166523
